Community,Humidity,LGA,Latitude,Longitude,Month,NDVI,PopulationDensity,Rainfall,Temperature,Year,Month_Num,prevalence
Orile Agege,79.88941663559397,Agege,6.6225,3.3105,2021-01,0.14735,27114.00586,10.622100830078123,27.679077361732425,2021,1,28.221123228248782
Dopemu,79.88941663559397,Agege,6.6167,3.3142,2021-01,0.14495,27114.00586,10.622100830078123,27.679077361732425,2021,1,26.14729633042371
Onipetesi,79.88941663559397,Agege,6.6278,3.3068,2021-01,0.1551,44994.89063,10.622100830078123,27.679077361732425,2021,1,20.086451754535723
Isale Odo,79.88941663559397,Agege,6.6189,3.3201,2021-01,0.14345,31679.82422,10.622100830078123,27.679077361732425,2021,1,23.651234910307593
Mangoro,79.88941663559397,Agege,6.6302,3.3165,2021-01,0.14045,44820.63281,10.622100830078123,27.679077361732425,2021,1,18.31369040579981
Ajegunle,81.22054799439475,Ajeromi-Ifelodun,6.4531,3.3398,2021-01,0.1674,52191.71094,6.840873003005981,27.65101431569736,2021,1,19.854982059110885
Amukoko,83.62097496220595,Ajeromi-Ifelodun,6.4467,3.3332,2021-01,0.12115,11885.57422,8.404839277267456,27.283807373046898,2021,1,20.255363660337323
Ijora,81.22054799439475,Ajeromi-Ifelodun,6.4603,3.3465,2021-01,0.06715,43028.61719,6.840873003005981,27.65101431569736,2021,1,19.018692983870558
Alayabiagba,81.22054799439475,Ajeromi-Ifelodun,6.4505,3.3278,2021-01,0.18715,68957.99219,6.840873003005981,27.65101431569736,2021,1,18.92257676666969
Tolu,81.22054799439475,Ajeromi-Ifelodun,6.4558,3.3421,2021-01,0.143,37231.81641,6.840873003005981,27.65101431569736,2021,1,23.862169992738437
Ipaja,79.88941663559397,Alimosho,6.6167,3.2583,2021-01,0.3637,12306.83789,11.941892623901367,27.679077361732425,2021,1,24.12078839884487
Egbeda,79.88941663559397,Alimosho,6.6056,3.2654,2021-01,0.21685,18111.0625,11.941892623901367,27.679077361732425,2021,1,26.58529377351856
Idimu,79.88941663559397,Alimosho,6.6278,3.2701,2021-01,0.1888,15481.80957,11.941892623901367,27.679077361732425,2021,1,25.321797981334026
Akowonjo,79.88941663559397,Alimosho,6.6112,3.2527,2021-01,0.22565,16352.66016,11.941892623901367,27.679077361732425,2021,1,23.680994242902536
Abule Egba,80.98962467940525,Alimosho,6.6223,3.2478,2021-01,0.22585,7288.07666,13.515789031982422,27.45489063878216,2021,1,25.58225163
Festac Town,81.22054799439475,Amuwo-Odofin,6.4667,3.2833,2021-01,0.1443,6223.310059,8.706299781799316,27.65101431569736,2021,1,23.842738510219363
Satellite Town,81.22054799439475,Amuwo-Odofin,6.4503,3.2665,2021-01,0.2431,6147.958008,8.706299781799316,27.65101431569736,2021,1,25.47549320268417
Kirikiri,81.22054799439475,Amuwo-Odofin,6.4601,3.3002,2021-01,0.23945,9774.135742,8.706299781799316,27.65101431569736,2021,1,23.307913735478767
Ijegun,81.22054799439475,Amuwo-Odofin,6.4725,3.2754,2021-01,0.2135,6560.378906,8.706299781799316,27.65101431569736,2021,1,23.942882148186857
Agboju,81.22054799439475,Amuwo-Odofin,6.4556,3.2908,2021-01,0.21325,5521.639648,8.706299781799316,27.65101431569736,2021,1,25.763728024143745
Apapa Wharf,81.28710332468894,Apapa,6.4389,3.3667,2021-01,0.1668,6621.325195,8.810983657836914,27.82035340339911,2021,1,26.703117528904095
Ijora Oloye,81.28710332468894,Apapa,6.4456,3.3554,2021-01,0.2617,10538.95508,8.810983657836914,27.82035340339911,2021,1,24.542962155073024
Olodi,81.28710332468894,Apapa,6.4321,3.3602,2021-01,0.11595,2067.273926,8.810983657836914,27.82035340339911,2021,1,24.00380822573285
Tincan Island,83.62097496220595,Apapa,6.4278,3.3501,2021-01,0.186025,1358.343505859375,8.404839277267456,27.283807373046898,2021,1,24.84866059535805
Sari Iganmu,81.28710332468894,Apapa,6.4403,3.3705,2021-01,0.0861,6621.325195,8.810983657836914,27.82035340339911,2021,1,22.095458525329782
Badagry Town,81.85241022,Badagry,6.4167,2.8833,2021-01,0.2043,1841.502441,13.281932830810549,27.61285224832517,2021,1,24.365788202187776
Topo,81.85241022,Badagry,6.4002,2.8701,2021-01,0.7962,581.0872192382812,126.1106457710266,27.61285224832517,2021,1,25.107346804348794
Ajido,81.85241022,Badagry,6.4256,2.8954,2021-01,0.4924,1825.1571044921875,13.281932830810549,27.61285224832517,2021,1,26.131774373806717
Iworo,81.85241022,Badagry,6.4103,2.8608,2021-01,0.61605,781.3859863,13.281932830810549,27.61285224832517,2021,1,25.39733300459554
Seme,81.85241022,Badagry,6.4301,2.9056,2021-01,0.39865,1364.1773681640625,11.871751308441162,27.61285224832517,2021,1,23.140681603475684
Epe Town,82.56134680001345,Epe,6.5833,3.9833,2021-01,0.33,2684.831543,5.315379619598389,27.48312694590578,2021,1,25.507259347492504
Ejinrin,82.56134680001345,Epe,6.5701,3.9702,2021-01,0.2865,183.76519775390625,5.315379619598389,27.48312694590578,2021,1,24.927218512529386
Ise,82.56134680001345,Epe,6.5954,3.9956,2021-01,0.28625,1798.640137,5.315379619598389,27.48312694590578,2021,1,24.64308657087597
Odomola,82.56134680001345,Epe,6.5608,3.9603,2021-01,0.34575,326.5197754,5.315379619598389,27.48312694590578,2021,1,25.89242257321906
Agbowa,82.56134680001345,Epe,6.5756,3.9754,2021-01,0.186025,1856.0240478515625,5.315379619598389,27.48312694590578,2021,1,26.657107182191186
Victoria Island,81.28710332468894,Eti-Osa,6.4286,3.4186,2021-01,0.20945,6075.92627,8.237868309020996,27.82035340339911,2021,1,26.119774103941293
Lekki Phase 1,83.62097496220595,Eti-Osa,6.4167,3.4667,2021-01,0.186025,2812.932617,6.570082426071167,27.283807373046898,2021,1,24.725940533215972
Ikoyi,81.28710332468894,Eti-Osa,6.4444,3.4333,2021-01,0.15825,6226.674316,8.237868309020996,27.82035340339911,2021,1,26.34583604211384
Ajah,83.62097496220595,Eti-Osa,6.4003,3.4832,2021-01,0.186025,2198.556641,126.1106457710266,27.283807373046898,2021,1,26.17164067150689
Sangotedo,83.62097496220595,Eti-Osa,6.3901,3.5005,2021-01,0.186025,1732.330566,126.1106457710266,27.283807373046898,2021,1,26.880767466509102
Ibeju,83.20820005,Ibeju-Lekki,6.4667,3.6667,2021-01,0.21845,721.3165893554686,5.469010115,27.60443858485064,2021,1,23.91104280333179
Lekki Free Zone,83.20820005,Ibeju-Lekki,6.4502,3.6832,2021-01,0.4565,730.3173828,5.469010115,27.60443858485064,2021,1,24.085705075286025
Akodo,83.4167667,Ibeju-Lekki,6.4756,3.6501,2021-01,0.22805,1351.589844,0,27.582179785287508,2021,1,23.443891530579567
Orimedu,83.20820005,Ibeju-Lekki,6.4603,3.6705,2021-01,0.3639,873.1000366210938,5.469010115,27.60443858485064,2021,1,22.989630219195405
Eleko,83.4167667,Ibeju-Lekki,6.4801,3.6408,2021-01,0.3577,1107.6112060546875,0,27.582179785287508,2021,1,25.076301565310892
Ogba,79.88941663559397,Ifako-Ijaye,6.6333,3.3333,2021-01,0.17125,12061.75391,10.622100830078123,27.679077361732425,2021,1,27.71720794261746
Iju Ishaga,79.88941663559397,Ifako-Ijaye,6.6502,3.3201,2021-01,0.17985,28389.60547,10.622100830078123,27.679077361732425,2021,1,25.672273907409664
Ojodu,79.88941663559397,Ifako-Ijaye,6.6403,3.3405,2021-01,0.1537,11477.36816,10.622100830078123,27.679077361732425,2021,1,27.380142390991036
Alagbado,78.33373329888686,Ifako-Ijaye,6.6601,3.3108,2021-01,0.1582,29026.18164,8.247545242,27.66671807073777,2021,1,27.19072478125421
Ijaiye,79.88941663559397,Ifako-Ijaye,6.6205,3.3254,2021-01,0.1357,18660.7168,10.622100830078123,27.679077361732425,2021,1,23.279270061806756
Maryland,80.92698222594888,Ikeja,6.575,3.365,2021-01,0.20245,25513,11.323649406433104,27.667135472451434,2021,1,24.715598930276936
Oregun,80.92698222594888,Ikeja,6.5667,3.3702,2021-01,0.1346,29538.03516,11.323649406433104,27.667135472451434,2021,1,26.06932219572447
Alausa,79.88941663559397,Ikeja,6.5833,3.3501,2021-01,0.2684,29430.25586,9.469045639038086,27.679077361732425,2021,1,24.96753115723496
Ojota,80.92698222594888,Ikeja,6.5603,3.3805,2021-01,0.26315,25997.7793,11.323649406433104,27.667135472451434,2021,1,26.55589463
Onigbongbo,80.92698222594888,Ikeja,6.5901,3.3608,2021-01,0.23675,25328.87695,11.323649406433104,27.667135472451434,2021,1,21.458565472646686
Odogunyan,79.80177529202547,Ikorodu,6.6833,3.5167,2021-01,0.227,3052.742188,9.311272621154783,27.66587014147035,2021,1,25.61111051618808
Igbogbo,79.80177529202547,Ikorodu,6.6702,3.5301,2021-01,0.2016,3572.070801,9.311272621154783,27.66587014147035,2021,1,25.31241861511775
Imota,80.72022722945545,Ikorodu,6.6603,3.5505,2021-01,0.44405,1285.665527,8.845331192016602,27.53511052285484,2021,1,24.915593259498838
Ijede,79.80177529202547,Ikorodu,6.6901,3.5408,2021-01,0.36845,1270.9117431640625,9.311272621154783,27.66587014147035,2021,1,25.130019482291814
Agura,79.80177529202547,Ikorodu,6.6756,3.5203,2021-01,0.2457,3621.723633,9.311272621154783,27.66587014147035,2021,1,22.82677101851579
Ketu,80.92698222594888,Kosofe,6.5833,3.3833,2021-01,0.18115,25533.94531,11.323649406433104,27.667135472451434,2021,1,24.43527570656368
Mile 12,80.92698222594888,Kosofe,6.5702,3.3901,2021-01,0.2855,16760.66211,11.323649406433104,27.667135472451434,2021,1,24.977972602452038
Ojodu Berger,80.92698222594888,Kosofe,6.5903,3.3705,2021-01,0.3003,22570.35742,11.323649406433104,27.667135472451434,2021,1,25.968782648347826
Magodo,80.92698222594888,Kosofe,6.6001,3.3608,2021-01,0.1709,28963.81055,10.852882385253906,27.667135472451434,2021,1,26.090294707988797
Alapere,80.92698222594888,Kosofe,6.5656,3.3954,2021-01,0.28745,17359.45313,11.323649406433104,27.667135472451434,2021,1,23.81581259
Idumota,80.89580617834315,Lagos Island,6.4556,3.4,2021-01,0.1255,15736.19824,9.398205280303957,27.81919308,2021,1,22.19471262870546
Ebute Elefun,80.89580617834315,Lagos Island,6.4503,3.4102,2021-01,0.24585,15303.74219,9.510989427566528,27.81919308,2021,1,24.44952923
Isale Eko,80.89580617834315,Lagos Island,6.4601,3.3954,2021-01,0.18175,10023.75195,9.398205280303957,27.81919308,2021,1,24.112842406163363
Obalende,81.28710332468894,Lagos Island,6.4456,3.4205,2021-01,0.497,6374.598633,8.237868309020996,27.82035340339911,2021,1,23.112030414758234
Dolphin Estate,80.89580617834315,Lagos Island,6.4654,3.4056,2021-01,0.186025,3760.239013671875,9.510989427566528,27.81919308,2021,1,25.106236845588676
Yaba,80.89580617834315,Lagos Mainland,6.5167,3.3833,2021-01,0.1803,17687.57617,11.20560359954834,27.81919308,2021,1,23.960413563593573
Ebute Metta,80.89580617834315,Lagos Mainland,6.5002,3.3901,2021-01,0.0817,16753.43164,11.20560359954834,27.81919308,2021,1,23.75929586889527
Iwaya,80.89580617834315,Lagos Mainland,6.5103,3.3705,2021-01,0.15495,25421.75391,11.20560359954834,27.81919308,2021,1,24.477226100181266
Makoko,80.89580617834315,Lagos Mainland,6.4901,3.4008,2021-01,0.186025,7810.135742,9.510989427566528,27.81919308,2021,1,23.767055787593595
Otto,80.89580617834315,Lagos Mainland,6.5205,3.3603,2021-01,0.13615,27635.09375,11.20560359954834,27.81919308,2021,1,23.50842740627606
Idi Araba,81.22054799439475,Mushin,6.5333,3.3333,2021-01,0.1548,63879.60156,14.147012710571287,27.65101431569736,2021,1,18
Itire,81.22054799439475,Mushin,6.5202,3.3401,2021-01,0.16595,26604.125,14.147012710571287,27.65101431569736,2021,1,26.583302655864962
Ilupeju,81.22054799439475,Mushin,6.5403,3.3505,2021-01,0.126,55856.90234,14.147012710571287,27.65101431569736,2021,1,18.692038623669877
Papa Ajao,81.22054799439475,Mushin,6.5301,3.3208,2021-01,0.2188,32508.74414,14.147012710571287,27.65101431569736,2021,1,24.919228882061912
Ladipo,81.22054799439475,Mushin,6.5105,3.3303,2021-01,0.14415,29023.78516,14.147012710571287,27.65101431569736,2021,1,24.637833265313606
Iba,81.65953648048733,Ojo,6.4667,3.2167,2021-01,0.4372,4076.252441,9.189101219177246,27.51459220968269,2021,1,22.98664440854734
Okokomaiko,81.65953648048733,Ojo,6.4502,3.2001,2021-01,0.267,6108.10791,9.189101219177246,27.51459220968269,2021,1,23.66895378904526
Ajangbadi,81.65953648048733,Ojo,6.4756,3.2305,2021-01,0.4369,2386.742431640625,9.189101219177246,27.51459220968269,2021,1,24.194854603237026
Ilogbo,81.65953648048733,Ojo,6.4603,3.2108,2021-01,0.2962,8872.575195,9.189101219177246,27.51459220968269,2021,1,23.098910228776365
Shibiri,81.65953648048733,Ojo,6.4801,3.2254,2021-01,0.46215,2386.742431640625,9.189101219177246,27.51459220968269,2021,1,24.349994914899618
Isolo,81.22054799439475,Oshodi-Isolo,6.5333,3.3167,2021-01,0.2035,22774.2832,14.147012710571287,27.65101431569736,2021,1,25.219238937973962
Ejigbo,79.88941663559397,Oshodi-Isolo,6.5502,3.3101,2021-01,0.21,13347.73047,9.469045639038086,27.679077361732425,2021,1,26.575933136633903
Okota,81.22054799439475,Oshodi-Isolo,6.5203,3.3205,2021-01,0.1284,24174.91211,14.147012710571287,27.65101431569736,2021,1,24.555707863207008
Mafoluku,81.22054799439475,Oshodi-Isolo,6.5401,3.3308,2021-01,0.19905,40985.85938,14.147012710571287,27.65101431569736,2021,1,25.52800126030623
Ajao Estate,81.22054799439475,Oshodi-Isolo,6.5305,3.3003,2021-01,0.24095,20912.54492,11.315853595733644,27.65101431569736,2021,1,24.505783687459953
Bariga,80.89580617834315,Shomolu,6.5333,3.3833,2021-01,0.09645,30146.36328,11.20560359954834,27.81919308,2021,1,22.390211222605085
Gbagada,80.89580617834315,Shomolu,6.5202,3.3901,2021-01,0.1519,17687.57617,11.20560359954834,27.81919308,2021,1,25.554253046111782
Abule Ijesha,80.89580617834315,Shomolu,6.5403,3.3705,2021-01,0.11665,37081.16797,11.20560359954834,27.81919308,2021,1,23.802025906758768
Pedro,80.89580617834315,Shomolu,6.5101,3.3808,2021-01,0.2374,23206.38086,11.20560359954834,27.81919308,2021,1,26.41321811411479
Onipanu,80.89580617834315,Shomolu,6.5305,3.3603,2021-01,0.07925,27363.66016,11.20560359954834,27.81919308,2021,1,24.116621473123004
Aguda,81.22054799439475,Surulere,6.5,3.35,2021-01,0.159,24683.78125,14.147012710571287,27.65101431569736,2021,1,25.497650419849787
Ijesha,81.22054799439475,Surulere,6.5102,3.3401,2021-01,0.1943,26774.75977,14.147012710571287,27.65101431569736,2021,1,24.870882810053526
Coker,80.89580617834315,Surulere,6.4903,3.3605,2021-01,0.2024,23246.90234,9.398205280303957,27.81919308,2021,1,22.78323452657461
Itire-Ikate,81.22054799439475,Surulere,6.5201,3.3308,2021-01,0.08625,21109.36523,14.147012710571287,27.65101431569736,2021,1,24.072286144348922
Obele,80.89580617834315,Surulere,6.5005,3.3703,2021-01,0.22895,19471.44141,11.20560359954834,27.81919308,2021,1,24.436659634424863
Orile Agege,75.94995443,Agege,6.6225,3.3105,2021-02,0.12285,27114.00586,20.09146976470948,28.196094472067728,2021,2,25.798378886717728
Dopemu,75.94995443,Agege,6.6167,3.3142,2021-02,0.0957,27114.00586,20.09146976470948,28.196094472067728,2021,2,24.09795948487994
Onipetesi,75.94995443,Agege,6.6278,3.3068,2021-02,0.1549,44994.89063,20.09146976470948,28.196094472067728,2021,2,21.188547743977978
Isale Odo,75.94995443,Agege,6.6189,3.3201,2021-02,0.1141,31679.82422,20.09146976470948,28.196094472067728,2021,2,23.659438384340202
Mangoro,75.94995443,Agege,6.6302,3.3165,2021-02,0.10975,44820.63281,20.09146976470948,28.196094472067728,2021,2,19.547341286416362
